Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:  26%|██▋       | 82/311 [00:00<00:00, 771.48it/s]Loading weights:  51%|█████▏    | 160/311 [00:00<00:00, 717.43it/s]Loading weights:  75%|███████▍  | 232/311 [00:00<00:00, 575.11it/s]Loading weights:  98%|█████████▊| 306/311 [00:00<00:00, 629.06it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 649.27it/s]
=== base: 57 conditions x 3 seeds (0 already done) ===
Loading weights:   0%|          | 0/218 [00:00<?, ?it/s]Loading weights:  19%|█▉        | 41/218 [00:00<00:00, 406.08it/s]Loading weights:  38%|███▊      | 82/218 [00:00<00:00, 266.40it/s]Loading weights:  82%|████████▏ | 178/218 [00:00<00:00, 493.18it/s]Loading weights: 100%|██████████| 218/218 [00:00<00:00, 460.61it/s]
ref norm 778.2
[base] none seed 0: 10 gens (10s)
[base] none seed 1: 10 gens (9s)
[base] none seed 2: 10 gens (9s)
[base] m1:hedge_assert-0.2 seed 0: 10 gens (9s)
[base] m1:hedge_assert-0.2 seed 1: 10 gens (9s)
[base] m1:hedge_assert-0.2 seed 2: 10 gens (9s)
[base] m1:hedge_assert-0.1 seed 0: 10 gens (9s)
[base] m1:hedge_assert-0.1 seed 1: 10 gens (9s)
[base] m1:hedge_assert-0.1 seed 2: 10 gens (9s)
[base] m1:hedge_assert+0.1 seed 0: 10 gens (9s)
[base] m1:hedge_assert+0.1 seed 1: 10 gens (9s)
[base] m1:hedge_assert+0.1 seed 2: 10 gens (9s)
[base] m1:hedge_assert+0.2 seed 0: 10 gens (9s)
[base] m1:hedge_assert+0.2 seed 1: 10 gens (9s)
[base] m1:hedge_assert+0.2 seed 2: 10 gens (9s)
[base] m1:elaborate_concise-0.2 seed 0: 10 gens (9s)
[base] m1:elaborate_concise-0.2 seed 1: 10 gens (8s)
[base] m1:elaborate_concise-0.2 seed 2: 10 gens (9s)
[base] m1:elaborate_concise-0.1 seed 0: 10 gens (9s)
[base] m1:elaborate_concise-0.1 seed 1: 10 gens (9s)
[base] m1:elaborate_concise-0.1 seed 2: 10 gens (9s)
[base] m1:elaborate_concise+0.1 seed 0: 10 gens (10s)
[base] m1:elaborate_concise+0.1 seed 1: 10 gens (9s)
[base] m1:elaborate_concise+0.1 seed 2: 10 gens (10s)
[base] m1:elaborate_concise+0.2 seed 0: 10 gens (9s)
[base] m1:elaborate_concise+0.2 seed 1: 10 gens (9s)
[base] m1:elaborate_concise+0.2 seed 2: 10 gens (9s)
[base] m1:formal_casual-0.2 seed 0: 10 gens (10s)
[base] m1:formal_casual-0.2 seed 1: 10 gens (9s)
[base] m1:formal_casual-0.2 seed 2: 10 gens (9s)
[base] m1:formal_casual-0.1 seed 0: 10 gens (9s)
[base] m1:formal_casual-0.1 seed 1: 10 gens (9s)
[base] m1:formal_casual-0.1 seed 2: 10 gens (10s)
[base] m1:formal_casual+0.1 seed 0: 10 gens (9s)
[base] m1:formal_casual+0.1 seed 1: 10 gens (9s)
[base] m1:formal_casual+0.1 seed 2: 10 gens (9s)
[base] m1:formal_casual+0.2 seed 0: 10 gens (9s)
[base] m1:formal_casual+0.2 seed 1: 10 gens (9s)
[base] m1:formal_casual+0.2 seed 2: 10 gens (9s)
[base] m1:cautious_direct-0.2 seed 0: 10 gens (9s)
[base] m1:cautious_direct-0.2 seed 1: 10 gens (9s)
[base] m1:cautious_direct-0.2 seed 2: 10 gens (9s)
[base] m1:cautious_direct-0.1 seed 0: 10 gens (10s)
[base] m1:cautious_direct-0.1 seed 1: 10 gens (9s)
[base] m1:cautious_direct-0.1 seed 2: 10 gens (9s)
[base] m1:cautious_direct+0.1 seed 0: 10 gens (9s)
[base] m1:cautious_direct+0.1 seed 1: 10 gens (9s)
[base] m1:cautious_direct+0.1 seed 2: 10 gens (9s)
[base] m1:cautious_direct+0.2 seed 0: 10 gens (9s)
[base] m1:cautious_direct+0.2 seed 1: 10 gens (9s)
[base] m1:cautious_direct+0.2 seed 2: 10 gens (9s)
[base] m1:warm_neutral-0.2 seed 0: 10 gens (9s)
[base] m1:warm_neutral-0.2 seed 1: 10 gens (10s)
[base] m1:warm_neutral-0.2 seed 2: 10 gens (9s)
[base] m1:warm_neutral-0.1 seed 0: 10 gens (9s)
[base] m1:warm_neutral-0.1 seed 1: 10 gens (9s)
[base] m1:warm_neutral-0.1 seed 2: 10 gens (9s)
[base] m1:warm_neutral+0.1 seed 0: 10 gens (9s)
[base] m1:warm_neutral+0.1 seed 1: 10 gens (9s)
[base] m1:warm_neutral+0.1 seed 2: 10 gens (9s)
[base] m1:warm_neutral+0.2 seed 0: 10 gens (10s)
[base] m1:warm_neutral+0.2 seed 1: 10 gens (9s)
[base] m1:warm_neutral+0.2 seed 2: 10 gens (9s)
[base] m1:inquire_proceed-0.2 seed 0: 10 gens (9s)
[base] m1:inquire_proceed-0.2 seed 1: 10 gens (9s)
[base] m1:inquire_proceed-0.2 seed 2: 10 gens (9s)
[base] m1:inquire_proceed-0.1 seed 0: 10 gens (9s)
[base] m1:inquire_proceed-0.1 seed 1: 10 gens (9s)
[base] m1:inquire_proceed-0.1 seed 2: 10 gens (10s)
[base] m1:inquire_proceed+0.1 seed 0: 10 gens (9s)
[base] m1:inquire_proceed+0.1 seed 1: 10 gens (9s)
[base] m1:inquire_proceed+0.1 seed 2: 10 gens (9s)
[base] m1:inquire_proceed+0.2 seed 0: 10 gens (5s)
[base] m1:inquire_proceed+0.2 seed 1: 10 gens (4s)
[base] m1:inquire_proceed+0.2 seed 2: 10 gens (7s)
[base] m2:hedge_assert+0.1 seed 0: 10 gens (9s)
[base] m2:hedge_assert+0.1 seed 1: 10 gens (9s)
[base] m2:hedge_assert+0.1 seed 2: 10 gens (9s)
[base] m2:hedge_assert+0.2 seed 0: 10 gens (9s)
[base] m2:hedge_assert+0.2 seed 1: 10 gens (9s)
[base] m2:hedge_assert+0.2 seed 2: 10 gens (9s)
[base] m2:hedge_assert-0.1 seed 0: 10 gens (7s)
[base] m2:hedge_assert-0.1 seed 1: 10 gens (9s)
[base] m2:hedge_assert-0.1 seed 2: 10 gens (8s)
[base] m2:hedge_assert-0.2 seed 0: 10 gens (8s)
[base] m2:hedge_assert-0.2 seed 1: 10 gens (9s)
[base] m2:hedge_assert-0.2 seed 2: 10 gens (9s)
[base] m2:elaborate_concise+0.1 seed 0: 10 gens (9s)
[base] m2:elaborate_concise+0.1 seed 1: 10 gens (9s)
[base] m2:elaborate_concise+0.1 seed 2: 10 gens (9s)
[base] m2:elaborate_concise+0.2 seed 0: 10 gens (9s)
[base] m2:elaborate_concise+0.2 seed 1: 10 gens (10s)
[base] m2:elaborate_concise+0.2 seed 2: 10 gens (9s)
[base] m2:elaborate_concise-0.1 seed 0: 10 gens (9s)
[base] m2:elaborate_concise-0.1 seed 1: 10 gens (7s)
[base] m2:elaborate_concise-0.1 seed 2: 10 gens (6s)
[base] m2:elaborate_concise-0.2 seed 0: 10 gens (7s)
[base] m2:elaborate_concise-0.2 seed 1: 10 gens (6s)
[base] m2:elaborate_concise-0.2 seed 2: 10 gens (7s)
[base] m2:formal_casual+0.1 seed 0: 10 gens (9s)
[base] m2:formal_casual+0.1 seed 1: 10 gens (9s)
[base] m2:formal_casual+0.1 seed 2: 10 gens (9s)
[base] m2:formal_casual+0.2 seed 0: 10 gens (9s)
[base] m2:formal_casual+0.2 seed 1: 10 gens (9s)
[base] m2:formal_casual+0.2 seed 2: 10 gens (9s)
[base] m2:formal_casual-0.1 seed 0: 10 gens (9s)
[base] m2:formal_casual-0.1 seed 1: 10 gens (9s)
[base] m2:formal_casual-0.1 seed 2: 10 gens (10s)
[base] m2:formal_casual-0.2 seed 0: 10 gens (9s)
[base] m2:formal_casual-0.2 seed 1: 10 gens (9s)
[base] m2:formal_casual-0.2 seed 2: 10 gens (9s)
[base] m2:cautious_direct+0.1 seed 0: 10 gens (9s)
[base] m2:cautious_direct+0.1 seed 1: 10 gens (9s)
[base] m2:cautious_direct+0.1 seed 2: 10 gens (9s)
[base] m2:cautious_direct+0.2 seed 0: 10 gens (9s)
[base] m2:cautious_direct+0.2 seed 1: 10 gens (9s)
[base] m2:cautious_direct+0.2 seed 2: 10 gens (9s)
[base] m2:cautious_direct-0.1 seed 0: 10 gens (9s)
[base] m2:cautious_direct-0.1 seed 1: 10 gens (9s)
[base] m2:cautious_direct-0.1 seed 2: 10 gens (9s)
[base] m2:cautious_direct-0.2 seed 0: 10 gens (9s)
[base] m2:cautious_direct-0.2 seed 1: 10 gens (9s)
[base] m2:cautious_direct-0.2 seed 2: 10 gens (9s)
[base] m2:warm_neutral+0.1 seed 0: 10 gens (9s)
[base] m2:warm_neutral+0.1 seed 1: 10 gens (9s)
[base] m2:warm_neutral+0.1 seed 2: 10 gens (10s)
[base] m2:warm_neutral+0.2 seed 0: 10 gens (9s)
[base] m2:warm_neutral+0.2 seed 1: 10 gens (9s)
[base] m2:warm_neutral+0.2 seed 2: 10 gens (9s)
[base] m2:warm_neutral-0.1 seed 0: 10 gens (9s)
[base] m2:warm_neutral-0.1 seed 1: 10 gens (7s)
[base] m2:warm_neutral-0.1 seed 2: 10 gens (9s)
[base] m2:warm_neutral-0.2 seed 0: 10 gens (9s)
[base] m2:warm_neutral-0.2 seed 1: 10 gens (10s)
[base] m2:warm_neutral-0.2 seed 2: 10 gens (9s)
[base] m2:inquire_proceed+0.1 seed 0: 10 gens (9s)
[base] m2:inquire_proceed+0.1 seed 1: 10 gens (9s)
[base] m2:inquire_proceed+0.1 seed 2: 10 gens (9s)
[base] m2:inquire_proceed+0.2 seed 0: 10 gens (3s)
[base] m2:inquire_proceed+0.2 seed 1: 10 gens (2s)
[base] m2:inquire_proceed+0.2 seed 2: 10 gens (2s)
[base] m2:inquire_proceed-0.1 seed 0: 10 gens (9s)
[base] m2:inquire_proceed-0.1 seed 1: 10 gens (6s)
[base] m2:inquire_proceed-0.1 seed 2: 10 gens (9s)
[base] m2:inquire_proceed-0.2 seed 0: 10 gens (6s)
[base] m2:inquire_proceed-0.2 seed 1: 10 gens (8s)
[base] m2:inquire_proceed-0.2 seed 2: 10 gens (9s)
[base] dense:cem_best seed 0: 10 gens (9s)
[base] dense:cem_best seed 1: 10 gens (9s)
[base] dense:cem_best seed 2: 10 gens (9s)
[base] dense:prior seed 0: 10 gens (9s)
[base] dense:prior seed 1: 10 gens (9s)
[base] dense:prior seed 2: 10 gens (9s)
[base] dense:rand0 seed 0: 10 gens (10s)
[base] dense:rand0 seed 1: 10 gens (9s)
[base] dense:rand0 seed 2: 10 gens (9s)
[base] dense:rand1 seed 0: 10 gens (9s)
[base] dense:rand1 seed 1: 10 gens (9s)
[base] dense:rand1 seed 2: 10 gens (9s)
[base] dense:rand2 seed 0: 10 gens (9s)
[base] dense:rand2 seed 1: 10 gens (9s)
[base] dense:rand2 seed 2: 10 gens (9s)
[base] dense:rand3 seed 0: 10 gens (10s)
[base] dense:rand3 seed 1: 10 gens (9s)
[base] dense:rand3 seed 2: 10 gens (9s)
[base] dense:rand4 seed 0: 10 gens (9s)
[base] dense:rand4 seed 1: 10 gens (9s)
[base] dense:rand4 seed 2: 10 gens (9s)
[base] dense:rand5 seed 0: 10 gens (9s)
[base] dense:rand5 seed 1: 10 gens (9s)
[base] dense:rand5 seed 2: 10 gens (8s)
=== large: 25 conditions x 3 seeds (0 already done) ===
Loading weights:   0%|          | 0/339 [00:00<?, ?it/s]Loading weights:  16%|█▌        | 54/339 [00:00<00:00, 476.64it/s]Loading weights:  38%|███▊      | 129/339 [00:00<00:00, 613.28it/s]Loading weights:  56%|█████▋    | 191/339 [00:00<00:00, 615.93it/s]Loading weights:  77%|███████▋  | 261/339 [00:00<00:00, 638.59it/s]Loading weights:  96%|█████████▌| 326/339 [00:00<00:00, 617.46it/s]Loading weights: 100%|██████████| 339/339 [00:00<00:00, 634.33it/s]
/home/users/btf12/reward-adaptive-steering/.venv/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:3860: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
/home/users/btf12/reward-adaptive-steering/.venv/lib/python3.10/site-packages/numpy/_core/_methods.py:145: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)
[large] none seed 0: 10 gens (18s)
[large] none seed 1: 10 gens (18s)
[large] none seed 2: 10 gens (18s)
[large] m2:hedge_assert+0.1 seed 0: 10 gens (18s)
[large] m2:hedge_assert+0.1 seed 1: 10 gens (18s)
[large] m2:hedge_assert+0.1 seed 2: 10 gens (18s)
[large] m2:hedge_assert+0.2 seed 0: 10 gens (18s)
[large] m2:hedge_assert+0.2 seed 1: 10 gens (18s)
[large] m2:hedge_assert+0.2 seed 2: 10 gens (18s)
[large] m2:hedge_assert-0.1 seed 0: 10 gens (18s)
[large] m2:hedge_assert-0.1 seed 1: 10 gens (18s)
[large] m2:hedge_assert-0.1 seed 2: 10 gens (18s)
[large] m2:hedge_assert-0.2 seed 0: 10 gens (12s)
[large] m2:hedge_assert-0.2 seed 1: 10 gens (14s)
[large] m2:hedge_assert-0.2 seed 2: 10 gens (12s)
[large] m2:elaborate_concise+0.1 seed 0: 10 gens (18s)
[large] m2:elaborate_concise+0.1 seed 1: 10 gens (18s)
[large] m2:elaborate_concise+0.1 seed 2: 10 gens (18s)
